dates,reachpermillion
2018-09-13,1960
2018-09-14,2120
2018-09-15,2100
2018-09-16,1660
2018-09-17,2050
2018-09-18,1990
2018-09-19,2050
2018-09-20,2080
2018-09-21,2120
2018-09-22,2230
2018-09-23,1720
2018-09-24,2150
2018-09-25,1960
2018-09-26,1980
2018-09-27,1850
2018-09-28,1930
2018-09-29,2050
2018-09-30,2130
2018-10-01,1950
2018-10-02,1850
2018-10-03,2080
2018-10-04,1930
2018-10-05,1900
2018-10-06,2120
2018-10-07,2070
2018-10-08,2100
2018-10-09,2000
2018-10-10,1970
2018-10-11,2070
2018-10-12,2040
2018-10-13,2310
2018-10-14,2230
2018-10-15,2170
2018-10-16,1920
2018-10-17,1910
2018-10-18,2040
2018-10-19,2020
2018-10-20,2230
2018-10-21,2200
2018-10-22,2120
2018-10-23,2010
2018-10-24,1860
2018-10-25,2130
2018-10-26,2240
2018-10-27,2390
2018-10-28,2260
2018-10-29,2120
2018-10-30,2080
2018-10-31,2120
2018-11-01,2130
2018-11-02,2110
2018-11-03,2300
2018-11-04,2520
2018-11-05,2220
2018-11-06,2240
2018-11-07,2300
2018-11-08,2990
2018-11-09,3100
2018-11-10,2790
2018-11-11,3320
2018-11-12,3190
2018-11-13,2830
2018-11-14,2870
2018-11-15,2960
2018-11-16,3180
2018-11-17,3410
2018-11-18,4110
2018-11-19,4340
2018-11-20,4390
2018-11-21,4850
2018-11-22,8250
2018-11-23,11200
2018-11-24,6640
2018-11-25,5370
2018-11-26,7100
2018-11-27,4740
2018-11-28,3000
2018-11-29,2940
2018-11-30,2540
2018-12-01,2710
2018-12-02,2700
2018-12-03,2370
2018-12-04,2330
2018-12-05,2320
2018-12-06,2400
2018-12-07,2550
2018-12-08,2620
2018-12-09,2620
2018-12-10,2560
2018-12-11,2380
2018-12-12,1980
2018-12-13,2370
2018-12-14,2480
2018-12-15,2810
2018-12-16,2850
2018-12-17,2680
2018-12-18,2620
2018-12-19,2630
2018-12-20,2650
2018-12-21,2600
2018-12-22,3000
2018-12-23,2960
2018-12-24,2760
2018-12-25,2890
2018-12-26,3260
2018-12-27,3030
2018-12-28,2850
2018-12-29,2580
2018-12-30,2640
2018-12-31,2470
2019-01-01,2480
2019-01-02,2330
2019-01-03,2240
2019-01-04,2270
2019-01-05,2170
2019-01-06,2180
2019-01-07,1970
2019-01-08,2000
2019-01-09,1810
2019-01-10,1860
2019-01-11,1920
2019-01-12,2230
2019-01-13,2160
2019-01-14,1870
2019-01-15,1910
2019-01-16,1860
2019-01-17,1770
2019-01-18,1890
2019-01-19,2090
2019-01-20,2240
2019-01-21,2120
2019-01-22,1940
2019-01-23,1870
2019-01-24,1900
2019-01-25,1940
2019-01-26,2120
2019-01-27,2210
2019-01-28,2000
2019-01-29,1920
2019-01-30,1920
2019-01-31,1690
2019-02-01,1750
2019-02-02,1940
2019-02-03,1930
2019-02-04,1780
2019-02-05,1700
2019-02-06,1710
2019-02-07,1680
2019-02-08,1700
2019-02-09,1880
2019-02-10,1920
2019-02-11,1730
2019-02-12,1680
2019-02-13,1680
2019-02-14,1820
2019-02-15,1720
2019-02-16,1860
2019-02-17,2110
2019-02-18,2030
2019-02-19,1780
2019-02-20,1760
2019-02-21,1750
2019-02-22,1740
2019-02-23,1900
2019-02-24,2010
2019-02-25,1690
2019-02-26,1700
2019-02-27,1710
2019-02-28,1620
2019-03-01,1700
2019-03-02,1940
2019-03-03,1860
2019-03-04,1730
2019-03-05,1610
2019-03-06,1550
2019-03-07,1600
2019-03-08,1630
2019-03-09,1870
2019-03-10,2040
2019-03-11,1810
2019-03-12,1710
2019-03-13,1550
2019-03-14,1640
2019-03-15,1590
2019-03-16,1830
2019-03-17,1870
2019-03-18,1620
2019-03-19,1620
2019-03-20,1590
2019-03-21,1710
2019-03-22,1780
2019-03-23,1930
2019-03-24,1790
2019-03-25,1650
2019-03-26,1630
2019-03-27,1690
2019-03-28,1620
2019-03-29,1660
2019-03-30,1930
2019-03-31,1930
2019-04-01,1640
2019-04-02,1600
2019-04-03,1500
2019-04-04,1520
2019-04-05,1750
2019-04-06,1700
2019-04-07,1900
2019-04-08,1650
2019-04-09,1550
2019-04-10,1540
2019-04-11,1640
2019-04-12,1680
2019-04-13,1840
2019-04-14,1840
2019-04-15,1610
2019-04-16,1620
2019-04-17,1680
2019-04-18,1640
2019-04-19,1830
2019-04-20,1900
2019-04-21,1910
2019-04-22,1680
2019-04-23,1650
2019-04-24,1650
2019-04-25,1580
2019-04-26,1710
2019-04-27,1770
2019-04-28,1800
2019-04-29,1710
2019-04-30,1750
2019-05-01,1650
2019-05-02,1660
2019-05-03,1640
2019-05-04,1750
2019-05-05,1920
2019-05-06,1620
2019-05-07,1610
2019-05-08,1710
2019-05-09,1850
2019-05-10,1860
2019-05-11,2100
2019-05-12,2060
2019-05-13,1720
2019-05-14,1740
2019-05-15,1710
2019-05-16,1770
2019-05-17,1770
2019-05-18,1850
2019-05-19,2050
2019-05-20,1740
2019-05-21,1750
2019-05-22,1690
2019-05-23,1690
2019-05-24,1930
2019-05-25,2160
2019-05-26,2440
2019-05-27,2190
2019-05-28,1790
2019-05-29,1740
2019-05-30,1720
2019-05-31,1730
2019-06-01,2020
2019-06-02,2010
2019-06-03,1890
2019-06-04,1810
2019-06-05,1790
2019-06-06,1760
2019-06-07,1890
2019-06-08,2150
2019-06-09,2260
2019-06-10,2070
2019-06-11,2010
2019-06-12,2030
2019-06-13,1930
2019-06-14,1930
2019-06-15,2070
2019-06-16,2100
2019-06-17,2010
2019-06-18,1890
2019-06-19,2020
2019-06-20,1890
2019-06-21,1480
2019-06-22,1650
2019-06-23,1810
2019-06-24,1670
2019-06-25,1540
2019-06-26,1530
2019-06-27,1570
2019-06-28,1640
2019-06-29,1790
2019-06-30,2220
2019-07-01,2030
2019-07-02,1980
2019-07-03,2020
2019-07-04,2100
2019-07-05,2100
2019-07-06,1900
2019-07-07,2300
2019-07-08,2100
2019-07-09,2200
2019-07-10,2300
2019-07-11,2100
2019-07-12,2100
2019-07-13,2600
2019-07-14,2700
2019-07-15,3400
2019-07-16,3300
2019-07-17,3000
2019-07-18,2700
2019-07-19,2700
2019-07-20,2700
2019-07-21,2500
2019-07-22,2600
2019-07-23,2500
2019-07-24,2400
2019-07-25,3100
2019-07-26,2600
2019-07-27,2900
2019-07-28,2600
2019-07-29,2400
2019-07-30,2400
2019-07-31,2700
2019-08-01,2500
2019-08-02,2900
2019-08-03,3200
2019-08-04,2800
2019-08-05,3000
2019-08-06,2700
2019-08-07,2700
2019-08-08,2500
2019-08-09,2600
2019-08-10,2800
2019-08-11,2700
2019-08-12,2900
2019-08-13,2600
2019-08-14,2300
2019-08-15,2500
2019-08-16,2400
2019-08-17,3000
2019-08-18,2800
2019-08-19,2700
2019-08-20,2300
2019-08-21,2000
2019-08-22,2300
2019-08-23,2500
2019-08-24,3000
2019-08-25,2600
2019-08-26,2600
2019-08-27,2300
2019-08-28,2300
2019-08-29,2400
2019-08-30,2500
2019-08-31,2900
2019-09-01,3100
2019-09-02,2700
2019-09-03,2300
2019-09-04,2300
2019-09-05,2200
2019-09-06,2100
2019-09-07,2400
2019-09-08,2300
2019-09-09,2000
2019-09-10,2200
2019-09-11,2500
2019-09-12,2300
2019-09-13,2600
2019-09-14,2700
2019-09-15,2400
2019-09-16,2300
2019-09-17,2400
2019-09-18,2400
2019-09-19,2300
2019-09-20,2600
2019-09-21,2700
2019-09-22,2300
2019-09-23,2200
2019-09-24,2300
2019-09-25,2200
2019-09-26,1300
2019-09-27,1300
2019-09-28,1500
2019-09-29,2400
2019-09-30,2300
2019-10-01,2100
2019-10-02,2300
2019-10-03,2300
2019-10-04,2500
2019-10-05,2900
2019-10-06,2600
2019-10-07,2100
2019-10-08,1400
2019-10-09,2200
2019-10-10,2300
2019-10-11,2300
2019-10-12,2700
2019-10-13,2600
2019-10-14,2400
2019-10-15,2200
2019-10-16,2200
2019-10-17,2400
2019-10-18,2300
2019-10-19,2700
